seed,model,malicious,dataset_len,mcc
3,LR,0,18000,0.841979946631171
3,SVM,0,18000,0.8716935344064551
3,KNN(1),0,18000,0.9497132013679331
3,KNN(3),0,18000,0.9502954037376499
3,KNN(5),0,18000,0.9499677114696673
3,KNN(7),0,18000,0.9493085742092133
3,KNN(9),0,18000,0.9476448791143761
3,DT,0,18000,0.8132796214464618
3,ANN,0,18000,0.9439023692866795
3,RF,0,18000,0.9524370310270494
3,VF(hard),0,18000,0.9478472909477731
3,VF(soft),0,18000,0.831639503356643
3,LR,0,22200,0.8704194753320045
3,SVM,0,22200,0.8613725895682327
3,KNN(1),0,22200,0.9519257350272035
3,KNN(3),0,22200,0.9528445026876841
3,KNN(5),0,22200,0.9527361950145069
3,KNN(7),0,22200,0.9531754196766958
3,KNN(9),0,22200,0.951517918602585
3,DT,0,22200,0.8194925782378834
3,ANN,0,22200,0.9289537287900677
3,RF,0,22200,0.9556610218728169
3,VF(hard),0,22200,0.9468169531085197
3,VF(soft),0,22200,0.8872771952970842
3,LR,0,26400,0.8629466382869818
3,SVM,0,26400,0.8492423126653723
3,KNN(1),0,26400,0.9556928467599319
3,KNN(3),0,26400,0.9566105540523256
3,KNN(5),0,26400,0.9552789734600503
3,KNN(7),0,26400,0.9558297415783625
3,KNN(9),0,26400,0.9544038626592387
3,DT,0,26400,0.8298327136730194
3,ANN,0,26400,0.9493221140870064
3,RF,0,26400,0.956659006530456
3,VF(hard),0,26400,0.9519397708068985
3,VF(soft),0,26400,0.8818771919133832
3,LR,0,30600,0.809395170154015
3,SVM,0,30600,0.8447912268478559
3,KNN(1),0,30600,0.957688431469118
3,KNN(3),0,30600,0.9591541280874135
3,KNN(5),0,30600,0.9584893295876478
3,KNN(7),0,30600,0.9574920988028108
3,KNN(9),0,30600,0.9563842683642468
3,DT,0,30600,0.8365035407844671
3,ANN,0,30600,0.9584352567839803
3,RF,0,30600,0.9608793001231161
3,VF(hard),0,30600,0.959900637078185
3,VF(soft),0,30600,0.9434390614449645
3,LR,0,34800,0.869044061361638
3,SVM,0,34800,0.8644682341213379
3,KNN(1),0,34800,0.9597926523962381
3,KNN(3),0,34800,0.9620335267610004
3,KNN(5),0,34800,0.9613682278500698
3,KNN(7),0,34800,0.9599291639371289
3,KNN(9),0,34800,0.9576022665605373
3,DT,0,34800,0.8477221013587982
3,ANN,0,34800,0.9421271533820422
3,RF,0,34800,0.9608806418894671
3,VF(hard),0,34800,0.9561428645554421
3,VF(soft),0,34800,0.8372146210249085
3,LR,0,39000,0.813112459035729
3,SVM,0,39000,0.8738442238354253
3,KNN(1),0,39000,0.961237810879216
3,KNN(3),0,39000,0.9624769266550167
3,KNN(5),0,39000,0.9616979176408136
3,KNN(7),0,39000,0.9608150096513356
3,KNN(9),0,39000,0.9594817966062565
3,DT,0,39000,0.8483950433910472
3,ANN,0,39000,0.9589972785379439
3,RF,0,39000,0.9618800358887134
3,VF(hard),0,39000,0.9602343318418186
3,VF(soft),0,39000,0.8754607489627888
3,LR,0,43200,0.8771035660161922
3,SVM,0,43200,0.8789041051802198
3,KNN(1),0,43200,0.9614571328484697
3,KNN(3),0,43200,0.963141258516282
3,KNN(5),0,43200,0.9615848738688308
3,KNN(7),0,43200,0.9619235399801339
3,KNN(9),0,43200,0.9600412060969812
3,DT,0,43200,0.8571764147164007
3,ANN,0,43200,0.9597830208745542
3,RF,0,43200,0.9648791846575104
3,VF(hard),0,43200,0.963354938111034
3,VF(soft),0,43200,0.9187570919779486
3,LR,0,47400,0.8494719354343195
3,SVM,0,47400,0.8790792980775876
3,KNN(1),0,47400,0.9622318757028453
3,KNN(3),0,47400,0.9635845197103458
3,KNN(5),0,47400,0.9625846081958004
3,KNN(7),0,47400,0.961587863553581
3,KNN(9),0,47400,0.9604836844138681
3,DT,0,47400,0.8537390228984703
3,ANN,0,47400,0.9603234576444872
3,RF,0,47400,0.9635447751586043
3,VF(hard),0,47400,0.9598251747900814
3,VF(soft),0,47400,0.8657810474304894
3,LR,0,51600,0.8680949548468501
3,SVM,0,51600,0.8795697448711237
3,KNN(1),0,51600,0.9634543186415868
3,KNN(3),0,51600,0.9651338874311876
3,KNN(5),0,51600,0.9630262787774831
3,KNN(7),0,51600,0.9631386903411735
3,KNN(9),0,51600,0.9609269321287932
3,DT,0,51600,0.8580977430051012
3,ANN,0,51600,0.9578851916137943
3,RF,0,51600,0.9661019582985608
3,VF(hard),0,51600,0.9621278297242761
3,VF(soft),0,51600,0.9104818378002192
3,LR,0,55800,0.8705137988449887
3,SVM,0,55800,0.8497884092706282
3,KNN(1),0,55800,0.9648942608657889
3,KNN(3),0,55800,0.9663539146373739
3,KNN(5),0,55800,0.9650214506304221
3,KNN(7),0,55800,0.9648001381321687
3,KNN(9),0,55800,0.9625900855579766
3,DT,0,55800,0.8629608089505547
3,ANN,0,55800,0.9601076893921239
3,RF,0,55800,0.9668798190138105
3,VF(hard),0,55800,0.9605908317840667
3,VF(soft),0,55800,0.9242788083414742
3,LR,0,60000,0.8813165742956409
3,SVM,0,60000,0.8488595727223832
3,KNN(1),0,60000,0.9656704848539769
3,KNN(3),0,60000,0.9672391582007852
3,KNN(5),0,60000,0.9653545070475599
3,KNN(7),0,60000,0.9660215456605357
3,KNN(9),0,60000,0.9621477773030105
3,DT,0,60000,0.8639569743065163
3,ANN,0,60000,0.9577760949780729
3,RF,0,60000,0.9653240525413708
3,VF(hard),0,60000,0.9628118595139292
3,VF(soft),0,60000,0.8977216165867363
3,LR,1,18000,0.841979946631171
3,SVM,1,18000,0.8716935344064551
3,KNN(1),1,18000,0.9497132013679331
3,KNN(3),1,18000,0.9502954037376499
3,KNN(5),1,18000,0.9499677114696673
3,KNN(7),1,18000,0.9493085742092133
3,KNN(9),1,18000,0.9476448791143761
3,DT,1,18000,0.8132796214464618
3,ANN,1,18000,0.9439023692866795
3,RF,1,18000,0.9524370310270494
3,VF(hard),1,18000,0.9478472909477731
3,VF(soft),1,18000,0.831639503356643
3,LR,1,22200,0.8528355178283471
3,SVM,1,22200,0.8544979844984842
3,KNN(1),1,22200,0.9493700927955737
3,KNN(3),1,22200,0.9529543746294192
3,KNN(5),1,22200,0.952623878058106
3,KNN(7),1,22200,0.953396297768171
3,KNN(9),1,22200,0.9510734495958676
3,DT,1,22200,0.8241643270388688
3,ANN,1,22200,0.9334773620491128
3,RF,1,22200,0.9541010699918545
3,VF(hard),1,22200,0.947849230411993
3,VF(soft),1,22200,0.8199738882841611
3,LR,1,26400,0.8681857027976336
3,SVM,1,26400,0.8567192612472938
3,KNN(1),1,26400,0.9526892438487492
3,KNN(3),1,26400,0.9562730103204296
3,KNN(5),1,26400,0.9557272144451233
3,KNN(7),1,26400,0.9558316277437867
3,KNN(9),1,26400,0.95373941517106
3,DT,1,26400,0.8268269781674235
3,ANN,1,26400,0.9359137586801977
3,RF,1,26400,0.9578809058647192
3,VF(hard),1,26400,0.9514036146830105
3,VF(soft),1,26400,0.8560722019757516
3,LR,1,30600,0.8658009844507256
3,SVM,1,30600,0.8560628074270907
3,KNN(1),1,30600,0.9523535047888104
3,KNN(3),1,30600,0.9588183290006203
3,KNN(5),1,30600,0.9584918682041389
3,KNN(7),1,30600,0.9580452165204478
3,KNN(9),1,30600,0.9566035755938024
3,DT,1,30600,0.8299488336531721
3,ANN,1,30600,0.9413533203776553
3,RF,1,30600,0.9589939876470296
3,VF(hard),1,30600,0.9525162022050818
3,VF(soft),1,30600,0.8778199587881209
3,LR,1,34800,0.8649431058542953
3,SVM,1,34800,0.8738237863667359
3,KNN(1),1,34800,0.954013911339538
3,KNN(3),1,34800,0.9619217650875167
3,KNN(5),1,34800,0.9611471609766933
3,KNN(7),1,34800,0.9599291856102855
3,KNN(9),1,34800,0.9583760550652632
3,DT,1,34800,0.8377276673514971
3,ANN,1,34800,0.9375565066480965
3,RF,1,34800,0.9598815823830954
3,VF(hard),1,34800,0.9557973964317372
3,VF(soft),1,34800,0.8774602781260533
3,LR,1,39000,0.8609443240373905
3,SVM,1,39000,0.8651129703463872
3,KNN(1),1,39000,0.9536767714129897
3,KNN(3),1,39000,0.9621452982802446
3,KNN(5),1,39000,0.961142567994889
3,KNN(7),1,39000,0.9607043464975754
3,KNN(9),1,39000,0.9590392438487338
3,DT,1,39000,0.8357217271847283
3,ANN,1,39000,0.935781365943437
3,RF,1,39000,0.9614357880936574
3,VF(hard),1,39000,0.9581289491912688
3,VF(soft),1,39000,0.9124903047760122
3,LR,1,43200,0.8539267908296537
3,SVM,1,43200,0.8064068004566262
3,KNN(1),1,43200,0.952894144137252
3,KNN(3),1,43200,0.9623634846730669
3,KNN(5),1,43200,0.9618062385582148
3,KNN(7),1,43200,0.9613663927677616
3,KNN(9),1,43200,0.959601512206764
3,DT,1,43200,0.8391746690916871
3,ANN,1,43200,0.9356594300688534
3,RF,1,43200,0.9657715698080681
3,VF(hard),1,43200,0.95613142298979
3,VF(soft),1,43200,0.894172446086121
3,LR,1,47400,0.8330908333156956
3,SVM,1,47400,0.8558542733931007
3,KNN(1),1,47400,0.952445216779129
3,KNN(3),1,47400,0.9625862011266887
3,KNN(5),1,47400,0.9628082332107433
3,KNN(7),1,47400,0.9615894981866525
3,KNN(9),1,47400,0.9608182615332237
3,DT,1,47400,0.838939529963965
3,ANN,1,47400,0.9366808930394083
3,RF,1,47400,0.9635478318230932
3,VF(hard),1,47400,0.9526238265212518
3,VF(soft),1,47400,0.858797764344423
3,LR,1,51600,0.8522590804706942
3,SVM,1,51600,0.821633845959444
3,KNN(1),1,51600,0.952887247804029
3,KNN(3),1,51600,0.964354527720207
3,KNN(5),1,51600,0.9639137620496927
3,KNN(7),1,51600,0.9629148899086893
3,KNN(9),1,51600,0.9613702775842532
3,DT,1,51600,0.8404081133032667
3,ANN,1,51600,0.9331328834208044
3,RF,1,51600,0.9657690982846497
3,VF(hard),1,51600,0.955039215331992
3,VF(soft),1,51600,0.8902173889503683
3,LR,1,55800,0.8631345875032485
3,SVM,1,55800,0.8580752787742784
3,KNN(1),1,55800,0.9527723785776506
3,KNN(3),1,55800,0.9663515565255807
3,KNN(5),1,55800,0.9652440919902521
3,KNN(7),1,55800,0.9646917659766171
3,KNN(9),1,55800,0.9619226659411022
3,DT,1,55800,0.8445157351984901
3,ANN,1,55800,0.9306674192743952
3,RF,1,55800,0.9648811035590382
3,VF(hard),1,55800,0.9544864379505821
3,VF(soft),1,55800,0.9103577103713747
3,LR,1,60000,0.8653476771900865
3,SVM,1,60000,0.8441064414977566
3,KNN(1),1,60000,0.9551040601078618
3,KNN(3),1,60000,0.9664625967626129
3,KNN(5),1,60000,0.965243901019457
3,KNN(7),1,60000,0.9657991385606295
3,KNN(9),1,60000,0.9618131752987796
3,DT,1,60000,0.8470597583751683
3,ANN,1,60000,0.93736899813595
3,RF,1,60000,0.965435629581598
3,VF(hard),1,60000,0.9587941597189431
3,VF(soft),1,60000,0.9008915987620888
3,LR,2,18000,0.841979946631171
3,SVM,2,18000,0.8716935344064551
3,KNN(1),2,18000,0.9497132013679331
3,KNN(3),2,18000,0.9502954037376499
